"","receiver","gsis_id","games","hPPR_pts","exp_hPPR_pts","exp_hPPR_pts_pg","hPPR_over_exp"
"226","D.Asiasi","00-0036194",4,10.9,9.91064440994974,2.47766110248744,0.989355590050257
"227","D.Byrd","00-0031868",14,89.9,103.599356209191,7.3999540149422,-13.6993562091908
"228","G.Olszewski","00-0035645",4,14.7,5.86995903444215,1.46748975861054,8.83004096555785
"229","J.Edelman","00-0027150",6,42,55.3748474524988,9.22914124208313,-13.3748474524988
"230","J.Meyers","00-0034960",12,102.4,107.997704264277,8.99980868868976,-5.59770426427717
"231","J.White","00-0031062",14,68,63.2742342316839,4.51958815940599,4.72576576831609
"232","Jak.Johnson","00-0035726",7,13.5,12.1098501841999,1.72997859774284,1.39014981580014
"233","N.Harry","00-0035624",13,59.4,80.7646199103683,6.21266307002833,-21.3646199103683
"234","R.Burkhead","00-0030288",8,49.7,39.5186952351715,4.93983690439643,10.1813047648285
"235","R.Izzo","00-0034439",10,26.4,26.6706268845971,2.66706268845971,-0.270626884597107
"236","S.Michel","00-0034845",6,20.9,8.71398661001836,1.45233110166973,12.1860133899816
"237","A.Carr","00-0033382",4,10.2,8.66068394656936,2.16517098664234,1.53931605343064
"238","A.Kamara","00-0033906",15,147.1,123.169811859339,8.21132079062263,23.9301881406606
"239","A.Trautman","00-0036422",10,30.6,20.3581492478434,2.03581492478434,10.2418507521566
"240","D.Harris","00-0035215",9,34.6,31.3800648690701,3.48667387434112,3.21993513092995
"241","E.Sanders","00-0027685",14,133.1,124.282782609255,8.87734161494678,8.81721739074503
"242","J.Cook","00-0027061",15,110.9,101.187391242521,6.74582608283474,9.71260875747892
"243","J.Hill","00-0030216",8,14.6,15.3720300551706,1.92150375689632,-0.772030055170573
"244","L.Humphrey","00-0035406",2,12.1,8.03023616425438,4.01511808212719,4.06976383574562
"245","L.Murray","00-0030513",14,35.1,27.4545900882404,1.96104214916003,7.64540991175956
"246","M.Callaway","00-0036219",6,31.8,33.6048965137076,5.60081608561793,-1.80489651370755
"247","M.Thomas","00-0032765",7,63.8,80.746354232317,11.5351934617596,-16.946354232317
"248","T.Hill","00-0033357",8,19.8,18.7630196864258,2.34537746080322,1.03698031357425
"249","T.Smith","00-0034765",13,85.8,68.1589878045706,5.24299906189004,17.6410121954294
"250","A.Mack","00-0035869",5,12.6,17.6623257781165,3.5324651556233,-5.06232577811651
"251","C.Board","00-0033367",9,15.6,20.0259260618001,2.22510289575557,-4.4259260618001
"252","D.Lewis","00-0028087",12,28.2,32.9196603902261,2.74330503251884,-4.71966039022614
"253","D.Pettis","00-0034860",2,15.6,7.61313554948276,3.80656777474138,7.98686445051724
"254","D.Slayton","00-0035535",16,118.1,143.259626776128,8.95372667350802,-25.1596267761284
"255","E.Engram","00-0033881",16,102.9,136.984644888272,8.56154030551702,-34.0846448882722
"256","G.Tate","00-0027891",12,68.3,69.978877062706,5.83157308855883,-1.67887706270601
"257","K.Smith","00-0034988",13,20.2,24.5362533682792,1.88740410525225,-4.33625336827922
"258","S.Shepard","00-0032385",12,116.6,114.691000212112,9.55758335100937,1.90899978788758
"259","W.Gallman","00-0033950",10,21.9,28.4340916238842,2.84340916238842,-6.53409162388424
"260","B.Berrios","00-0034419",13,75.9,70.259123933945,5.40454799491885,5.640876066055
"261","B.Perriman","00-0032054",12,83.5,90.5506724604107,7.54588937170089,-7.05067246041067
"262","C.Herndon","00-0034766",11,62.2,61.4457684902338,5.58597895365761,0.754231509766235
"263","C.Hogan","00-0028237",5,18.8,36.1682479163875,7.2336495832775,-17.3682479163875
"264","D.Mims","00-0036255",9,47.2,67.6469000587634,7.51632222875149,-20.4469000587634
"265","F.Gore","00-0023500",10,16.9,20.5255214851545,2.05255214851545,-3.62552148515449
"266","J.Crowder","00-0031941",12,135.4,113.795745806294,9.4829788171912,21.6042541937056
"267","J.Smith","00-0035510",8,25.2,51.6823420159492,6.46029275199365,-26.4823420159492
"268","K.Ballage","00-0034799",3,11.2,11.9953339089452,3.99844463631507,-0.795333908945201
"269","L.Perine","00-0036269",7,11.8,15.4259070754805,2.20370101078292,-3.62590707548047
"270","R.Griffin","00-0030108",5,13.1,13.1251800835547,2.62503601671093,-0.0251800835546536
"271","T.Johnson","00-0035537",7,23.9,19.3428695676803,2.76326708109719,4.55713043231969
"272","A.Jeffery","00-0029137",7,20.5,19.0055739714285,2.71508199591835,1.49442602857155
"273","B.Scott","00-0034414",13,39.7,41.4484180789759,3.18833985222892,-1.74841807897594
"274","D.Goedert","00-0034351",11,93.4,86.8436967919407,7.89488152654006,6.5563032080593
"275","D.Jackson","00-0026189",5,36.6,37.2176412733136,7.44352825466273,-0.61764127331363
"276","G.Ward","00-0033733",16,104.4,95.0326365933916,5.93953978708697,9.36736340660842
"277","J.Arcega-Whiteside","00-0035246",5,10.5,12.9726278043325,2.5945255608665,-2.4726278043325
"278","J.Hightower","00-0036398",10,21.7,46.7337434917937,4.67337434917937,-25.0337434917937
"279","J.Reagor","00-0036387",11,61.1,84.4250499555339,7.67500454141218,-23.3250499555339
"280","M.Sanders","00-0035243",12,33.7,53.7047232183477,4.47539360152898,-20.0047232183477
"281","Q.Watkins","00-0036271",4,20.1,19.4852441545087,4.87131103862717,0.614755845491306
"282","R.Rodgers","00-0031384",8,58.5,40.859928923075,5.10749111538438,17.640071076925
"283","T.Fulgham","00-0035592",12,96.9,98.1433609142332,8.17861340951943,-1.24336091423316
"284","Z.Ertz","00-0030061",11,57.5,92.2224563729482,8.38385967026802,-34.7224563729482
"285","B.Snell","00-0035217",6,11.1,17.6619928773007,2.94366547955012,-6.56199287730074
"286","C.Claypool","00-0036326",16,170.9,164.218307921593,10.2636442450996,6.68169207840697
"287","D.Johnson","00-0035216",15,178.3,184.493454124696,12.299563608313,-6.19345412469562
"288","E.Ebron","00-0031387",15,113.8,125.230235652483,8.34868237683223,-11.4302356524834
"289","J.Conner","00-0033553",12,39,48.9691035000235,4.08075862500195,-9.96910350002346
"290","J.Smith-Schuster","00-0033857",16,186.1,161.911901735591,10.1194938584744,24.1880982644091
"291","J.Washington","00-0034676",16,84.2,85.2064643575424,5.3254040223464,-1.00646435754237
"292","R.McCloud","00-0034407",11,19.1,21.8556368164614,1.98687607422376,-2.75563681646141
"293","V.McDonald","00-0030470",9,17.4,21.631309502151,2.40347883357234,-4.23130950215102
"294","C.Carson","00-0033594",12,71.2,55.5974506161965,4.63312088468304,15.6025493838035
"295","C.Hyde","00-0031045",8,17.3,19.1774723083769,2.39718403854711,-1.87747230837688
